profession_code;profession_description;year;employees_count
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2014;102919
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2015;102237
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2016;102101
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2017;103477
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2018;103469
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2019;102017
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2020;103372
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2021;101914
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2022;108618
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2023;112926
1;Repres. poder leg. e de orgaos exec., dirig., diret. e gestores executivos;2024;114787
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2014;14566
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2015;14586
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2016;14773
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2017;15327
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2018;15542
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2019;15291
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2020;15291
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2021;15593
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2022;16594
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2023;17071
11;Repres.poder legisl.e de org. exec.,dirig. super.adm. pub.,org.espec.,diret.e gest. empresas;2024;17579
12;Diret.de serv.adm. e comerciais;2014;34362
12;Diret.de serv.adm. e comerciais;2015;34158
12;Diret.de serv.adm. e comerciais;2016;34318
12;Diret.de serv.adm. e comerciais;2017;35282
12;Diret.de serv.adm. e comerciais;2018;34806
12;Diret.de serv.adm. e comerciais;2019;34200
12;Diret.de serv.adm. e comerciais;2020;35160
12;Diret.de serv.adm. e comerciais;2021;34365
12;Diret.de serv.adm. e comerciais;2022;36390
12;Diret.de serv.adm. e comerciais;2023;37296
12;Diret.de serv.adm. e comerciais;2024;38135
13;Diret.de prod.e de servicos espec.;2014;25339
13;Diret.de prod.e de servicos espec.;2015;24936
13;Diret.de prod.e de servicos espec.;2016;25216
13;Diret.de prod.e de servicos espec.;2017;24949
13;Diret.de prod.e de servicos espec.;2018;25104
13;Diret.de prod.e de servicos espec.;2019;24498
13;Diret.de prod.e de servicos espec.;2020;25721
13;Diret.de prod.e de servicos espec.;2021;25535
13;Diret.de prod.e de servicos espec.;2022;26924
13;Diret.de prod.e de servicos espec.;2023;27936
13;Diret.de prod.e de servicos espec.;2024;28687
14;Diret.de hot.,restaur.e de out.servicos;2014;28652
14;Diret.de hot.,restaur.e de out.servicos;2015;28557
14;Diret.de hot.,restaur.e de out.servicos;2016;27794
14;Diret.de hot.,restaur.e de out.servicos;2017;27919
14;Diret.de hot.,restaur.e de out.servicos;2018;28017
14;Diret.de hot.,restaur.e de out.servicos;2019;28028
14;Diret.de hot.,restaur.e de out.servicos;2020;27200
14;Diret.de hot.,restaur.e de out.servicos;2021;26421
14;Diret.de hot.,restaur.e de out.servicos;2022;28710
14;Diret.de hot.,restaur.e de out.servicos;2023;30623
14;Diret.de hot.,restaur.e de out.servicos;2024;30386
2;Especial.das ativ.intelet.e cientif.;2014;257358
2;Especial.das ativ.intelet.e cientif.;2015;268541
2;Especial.das ativ.intelet.e cientif.;2016;279378
2;Especial.das ativ.intelet.e cientif.;2017;293235
2;Especial.das ativ.intelet.e cientif.;2018;314401
2;Especial.das ativ.intelet.e cientif.;2019;332396
2;Especial.das ativ.intelet.e cientif.;2020;345330
2;Especial.das ativ.intelet.e cientif.;2021;358638
2;Especial.das ativ.intelet.e cientif.;2022;394102
2;Especial.das ativ.intelet.e cientif.;2023;416579
2;Especial.das ativ.intelet.e cientif.;2024;441951
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2014;53936
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2015;57203
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2016;58756
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2017;61272
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2018;65788
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2019;70069
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2020;71824
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2021;73837
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2022;81649
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2023;85228
21;Especial. das ciencias fisicas, matem., engen. e tecn. afins;2024;89683
22;Profissionais de saude;2014;44788
22;Profissionais de saude;2015;49436
22;Profissionais de saude;2016;53612
22;Profissionais de saude;2017;57092
22;Profissionais de saude;2018;60819
22;Profissionais de saude;2019;64767
22;Profissionais de saude;2020;68337
22;Profissionais de saude;2021;71562
22;Profissionais de saude;2022;74125
22;Profissionais de saude;2023;77078
22;Profissionais de saude;2024;81063
23;Professores;2014;37921
23;Professores;2015;37898
